Gene ID,Product,Alternate,Evidence Code,Reference,Support for Evidence Code Assignment,Transcript ID s ,Assigned By,Organism,VEuPathDB Project,has_pmid,has_transcript_id,PMID_clean
CNA01030,compass component bre2,No,,PMID:19542307,,CNA01030-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,19542307
CNA01070,"C-14 sterol reductase, putative",No,,PMID:17645443,,CNA01070-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,17645443
CNA01140,Capsule structure designer protein,No,,PMID:15590825,,CNA01140-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,15590825
CNA01450,Putative zinc finger transcription factor,No,,PMID:21487010,,"CNA01450-t26_1, CNA01450-t26_1",Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,21487010
CNA01450,Putative zinc finger transcription factor,No,, PMID:23251520,,"CNA01450-t26_1, CNA01450-t26_1",Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,23251520
CNA02470,Fungal gamma tubulin complex family protein,No,ISM,PMID:23966871,,CNA02470-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,23966871
CNA03720,"Aminophospholipid translocase, putative",No,ISA,PMID:19949048,,CNA03720-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,19949048
CNA04360,Identified spore protein 6,No,EXP,PMID:26313153,,CNA04360-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,26313153
CNA04550,oligosaccharyltransferase complex subunit epsilon,Yes,,PMID:21602483,,CNA04550-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,21602483
CNA04910,Membrane-associated retromer complex subunit,Yes,,PMID:19542307,,CNA04910-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,19542307
CNA04910,vacuolar protein sorting-associated protein vps17,No,,PMID:19542307,,CNA04910-t26_1,Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,19542307
CNA05010,"C-5 sterol desaturase, putative",No,,PMID:17645443,,"CNA05010-t26_1, CNA05010-t26_2",Sanger,Cryptococcus neoformans var. neoformans JEC21,FungiDB,TRUE,TRUE,17645443
